Date,Text,Time,categories_standard
"August 3, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:00,App Issues
"August 3, 2021",Billing  Change payment method,0:00:00,Payments
"August 3, 2021",,0:00:01,Other
"August 3, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 3, 2021",Billing  Other,0:00:00,Payments
"August 3, 2021",Parking Concern Other,0:00:00,Incidents
"August 3, 2021",Parking Concern Other,0:00:00,Incidents
"August 3, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 3, 2021",App/Ride  Starting a ride,0:00:05,App Issues
"August 3, 2021",Other,0:00:31,Other
"August 3, 2021",Billing  Improper charge,0:00:08,Payments
"August 4, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 4, 2021",Other,0:00:00,Other
